20	100
Processing times: 
66	41	17	1	92	39	72	72	47	10	32	99	49	24	60	12	15	64	76	15
86	32	28	87	64	46	11	16	11	64	44	77	76	97	94	86	95	31	62	99
88	70	28	99	66	41	80	78	33	44	18	2	69	34	3	21	22	20	18	73
78	20	65	8	83	91	43	6	60	12	30	26	76	39	96	21	56	49	22	88
92	50	21	21	40	93	56	95	73	43	20	76	52	88	77	74	19	74	69	73
6	23	99	7	79	34	53	57	66	12	86	40	84	13	87	28	28	70	18	42
7	60	63	67	24	99	87	84	71	2	56	97	63	84	7	67	2	22	79	69
72	2	52	70	56	65	76	81	21	91	64	81	19	6	84	81	86	5	88	98
17	86	60	73	73	81	92	60	26	79	47	45	25	24	94	57	12	3	53	22
33	20	2	97	99	2	45	24	35	30	50	30	95	66	46	92	95	77	71	69
30	94	9	91	85	46	67	94	97	7	62	64	22	38	75	40	40	16	59	91
30	37	99	10	80	5	50	12	20	21	82	41	85	94	89	73	53	40	29	60
87	93	82	81	74	89	14	34	12	87	18	75	9	20	26	75	12	27	81	84
12	48	57	17	9	89	61	89	73	75	51	93	11	73	34	76	43	62	72	24
40	57	64	28	75	25	62	62	41	73	34	2	51	86	98	24	21	63	7	44
61	44	90	42	71	52	66	51	31	9	29	30	63	66	22	32	40	94	93	75
77	78	63	30	46	52	13	77	1	37	10	14	33	33	7	37	46	38	12	59
70	84	50	71	24	60	24	3	77	6	19	77	18	95	45	10	49	72	19	56
30	76	4	98	52	26	48	66	43	80	38	23	12	56	11	20	59	99	29	61
54	93	71	4	50	80	72	1	15	42	69	88	11	40	87	73	76	87	60	27
79	4	8	65	72	70	69	99	1	73	57	52	80	85	58	8	31	91	89	60
88	39	70	65	78	9	65	54	96	14	46	51	64	55	56	6	2	15	53	20
57	39	78	71	91	57	73	36	81	92	59	8	24	48	88	69	49	55	7	82
31	56	97	98	18	55	69	33	73	4	44	97	76	21	39	73	85	30	65	15
2	76	94	62	28	91	37	62	49	34	71	65	56	78	10	52	43	92	34	58
28	79	40	44	33	2	85	53	19	71	16	8	38	52	98	30	15	5	16	88
89	36	2	42	74	89	69	13	14	83	46	78	69	48	64	64	2	34	38	40
30	92	48	93	74	71	85	25	98	71	1	83	8	73	44	26	38	68	9	63
45	77	11	49	54	93	42	43	57	17	61	9	65	32	28	53	63	17	66	66
57	4	30	33	99	4	51	42	76	44	16	90	89	91	61	81	86	92	7	7
33	58	22	22	63	7	22	78	84	95	83	7	66	35	9	29	43	88	95	7
88	52	18	46	8	5	76	20	19	71	30	22	57	53	91	68	8	47	81	33
48	53	34	61	23	11	5	81	30	25	13	68	9	38	6	99	18	19	53	81
50	3	61	88	98	56	92	87	34	29	89	80	96	26	41	97	66	49	19	33
59	66	26	8	41	63	69	64	58	2	92	26	13	40	88	34	8	45	94	72
46	95	36	26	79	76	37	73	41	94	82	36	48	96	73	79	30	15	87	34
30	17	94	82	44	78	97	99	82	87	56	87	42	52	87	15	1	2	90	71
40	13	6	43	46	84	66	14	66	16	94	63	16	36	40	49	53	34	60	8
1	40	59	83	69	76	38	46	65	65	61	73	2	63	20	74	45	40	76	70
37	4	33	80	41	74	67	27	83	2	52	53	59	27	15	44	45	17	55	59
10	9	19	60	88	88	29	60	48	85	89	47	98	16	9	98	52	95	49	96
77	96	70	19	40	97	12	63	82	7	76	93	86	82	46	19	47	90	45	11
67	42	17	55	59	50	58	89	90	49	86	20	41	19	53	94	87	63	53	21
20	70	20	71	39	35	19	90	60	24	77	59	55	17	35	77	93	33	60	16
53	46	12	21	20	22	27	38	43	66	38	98	55	41	99	17	91	73	24	59
5	82	32	28	43	50	85	58	13	50	20	51	17	54	16	20	98	45	87	56
74	8	20	63	93	22	87	66	9	4	7	30	92	36	68	78	6	48	85	26
44	4	16	72	70	52	85	79	79	76	64	71	83	37	84	11	22	28	2	57
86	45	13	3	24	47	30	19	17	25	92	75	96	24	16	74	67	70	42	90
47	6	19	38	12	93	55	63	41	14	3	11	76	32	83	33	2	76	73	27
58	2	77	72	98	60	38	44	67	1	57	48	37	89	81	79	81	33	22	33
26	15	17	9	91	40	18	6	49	90	11	68	26	67	14	94	85	96	11	97
15	3	51	15	69	12	23	33	66	24	44	78	48	50	89	6	58	20	5	69
62	52	19	92	40	1	97	56	74	46	33	33	28	84	51	25	59	90	38	59
64	37	2	9	6	34	1	42	92	61	48	61	62	11	78	29	40	15	61	39
81	9	4	67	35	89	7	1	55	3	11	35	66	19	28	69	22	3	42	56
91	26	5	98	10	72	78	81	11	51	63	80	29	63	66	80	3	68	50	16
95	43	70	12	73	10	88	85	43	57	70	15	13	54	96	99	18	64	85	53
48	16	56	9	66	83	26	40	28	73	79	47	82	59	64	37	79	27	6	99
99	33	85	27	93	3	56	11	81	42	10	73	27	59	18	1	62	55	59	60
6	67	42	39	14	39	49	12	91	67	91	69	38	13	40	39	4	55	2	85
83	15	18	9	87	66	24	2	90	54	28	87	50	76	59	28	53	79	9	31
71	92	38	6	86	17	22	88	80	4	13	82	44	71	7	36	43	10	65	21
49	50	60	63	51	62	4	86	27	32	32	66	4	4	23	99	99	78	2	38
47	76	7	62	32	64	28	45	65	91	36	44	80	5	7	20	54	87	85	5
2	78	78	39	94	94	83	46	97	19	64	96	22	47	32	71	93	92	13	9
51	48	60	99	53	35	19	78	65	72	72	60	92	15	61	29	99	74	53	11
41	54	17	91	48	80	95	84	13	91	44	81	74	44	32	9	4	13	60	83
13	4	23	84	41	73	77	23	16	56	19	63	72	35	62	45	50	89	38	76
17	98	22	86	32	92	2	27	52	41	11	46	97	45	92	55	58	95	58	20
52	90	37	63	25	2	50	53	67	21	86	90	31	59	45	5	75	93	28	8
17	90	80	90	72	31	6	85	30	60	69	91	27	29	21	36	13	74	60	11
74	80	93	91	60	8	96	61	73	27	62	78	45	77	62	83	25	71	11	58
98	32	97	26	16	65	16	97	5	4	95	10	88	35	77	36	44	76	75	14
4	47	71	32	20	54	87	59	5	10	43	13	24	8	27	33	56	13	33	35
17	19	71	91	23	25	45	69	86	91	95	36	9	25	48	99	87	52	19	67
72	18	91	69	13	43	80	63	41	82	20	31	83	55	89	5	68	38	81	41
53	63	35	69	31	39	21	97	31	11	76	29	88	68	96	79	37	9	80	88
99	8	84	70	45	91	10	97	94	73	33	20	78	43	34	92	39	36	49	73
19	16	69	96	43	8	70	9	18	41	89	40	88	89	67	58	39	44	33	17
35	76	19	57	82	99	11	39	31	25	65	2	77	70	68	25	74	46	31	31
45	61	54	72	35	68	89	19	69	10	74	56	64	11	12	42	92	82	60	19
23	73	26	4	25	6	33	29	11	82	29	53	83	61	26	79	97	93	32	61
69	86	43	11	25	76	57	34	64	33	68	90	63	38	44	52	9	53	7	77
54	62	42	63	87	98	94	70	26	14	4	85	44	71	21	37	30	46	2	76
13	7	19	4	39	57	52	98	27	54	77	82	66	96	43	78	3	12	61	67
51	49	76	30	21	98	22	64	45	14	1	79	69	14	71	77	74	65	57	63
16	9	30	62	23	47	31	22	55	99	50	42	18	49	72	56	54	95	69	93
34	90	86	45	5	99	79	95	95	82	95	43	34	95	52	46	66	13	43	47
72	3	75	32	51	57	62	51	2	98	63	60	93	56	53	90	93	47	78	31
13	87	26	73	37	65	34	77	46	33	78	51	5	73	41	71	74	44	48	52
20	40	28	58	32	73	76	84	31	38	92	13	42	76	54	4	76	7	40	28
